track_id,available_markets,popularity,genre,artist_name,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,dummy_column
7MXVkk9YMctZqd1Srtv4MB,KW,94,Pop,The Weeknd,Starboy,0.141,0.678,230453,0.588,6.35e-06,G,0.137,-7.015,Major,0.276,186.005,4/4,0.486,"[('mode', 0.9673476955417524), ('liveness', 0.9503064971568623), ('speechiness', 0.9177217458068253), ('tempo', 0.7406112306601347), ('valence', 0.6663450051065279), ('time_signature', 0.5846814286243445), ('key', 0.5655641183254073), ('loudness', 0.5634068155776616), ('danceability', 0.48641985519661424), ('acousticness', 0.4097169364011587), ('instrumentalness', 0.39897555834655274), ('energy', 0.23468306207031087), ('duration_ms', 0.04465388220622313)]"
0JXXNGljqupsJaZsgSbMZV,GE,90,Rap,Miguel,Sure Thing,0.0275,0.684,195373,0.603,0.000311,B,0.191,-8.127,Minor,0.0989,81.0,4/4,0.504,"[('valence', 0.9646398800334129), ('time_signature', 0.9553422233681848), ('speechiness', 0.7083193498094813), ('mode', 0.6830783422498188), ('liveness', 0.4851385955366878), ('danceability', 0.3955994689983908), ('energy', 0.3724920754566161), ('tempo', 0.36153950629978393), ('duration_ms', 0.33067991468015645), ('loudness', 0.3165311943613366), ('key', 0.2559254363191866), ('acousticness', 0.11021544747715761), ('instrumentalness', 0.019670464893558615)]"
3xKsf9qdS1CyvXSMEid6g8,IT,91,Children’s Music,Frank Ocean,Pink + White,0.67,0.544,184516,0.552,4.57e-05,A,0.415,-7.45,Major,0.0991,159.738,3/4,0.554,"[('instrumentalness', 0.9926758883462689), ('speechiness', 0.8253619975315817), ('valence', 0.8137735582341987), ('time_signature', 0.729362793842629), ('danceability', 0.6655403721556692), ('energy', 0.5841563994589979), ('tempo', 0.5521318661494895), ('key', 0.4388472966605905), ('acousticness', 0.4189673265073981), ('duration_ms', 0.3558898227570032), ('liveness', 0.1061803760260216), ('loudness', 0.10466055007943664), ('mode', 0.025259278989364642)]"
1R0a2iXumgCiFb7HEZ7gUE,OM,92,Dance,Taylor Swift,Don’t Blame Me,0.106,0.615,236413,0.534,1.76e-05,A,0.0607,-6.719,Minor,0.0386,135.917,4/4,0.193,"[('key', 0.9948988926569252), ('duration_ms', 0.8004638652092311), ('liveness', 0.7619541722292447), ('time_signature', 0.7165136315094506), ('acousticness', 0.7141852848466501), ('mode', 0.4760582335646767), ('instrumentalness', 0.4732672895581357), ('danceability', 0.4652924801633236), ('loudness', 0.4439928590012948), ('tempo', 0.38898786470127167), ('energy', 0.38880191951956156), ('valence', 0.3829299729232225), ('speechiness', 0.3642456732437678)]"
2QjOHCTQ1Jl3zawyYOpxh6,NL,93,Alternative,The Neighbourhood,Sweater Weather,0.0495,0.612,240400,0.807,0.0177,A#,0.101,-2.81,Major,0.0336,124.053,4/4,0.398,"[('key', 0.9403727254881018), ('duration_ms', 0.7053843761519986), ('danceability', 0.6014597970521341), ('loudness', 0.5210559580505665), ('mode', 0.49252057010803807), ('energy', 0.4168093106836226), ('time_signature', 0.35726705502332423), ('liveness', 0.282012849492121), ('valence', 0.1643821718618328), ('instrumentalness', 0.1347654797978094), ('speechiness', 0.1205300516732094), ('tempo', 0.10209717511398597), ('acousticness', 0.09534507227982147)]"
2QjOHCTQ1Jl3zawyYOpxh6,RW,93,Alternative,The Neighbourhood,Sweater Weather,0.0495,0.612,240400,0.807,0.0177,A#,0.101,-2.81,Major,0.0336,124.053,4/4,0.398,"[('duration_ms', 0.96674248094975), ('tempo', 0.9145321013859083), ('speechiness', 0.7535041907768424), ('valence', 0.7507688754998745), ('mode', 0.710147986565232), ('energy', 0.5658612550086054), ('loudness', 0.43609646833454885), ('instrumentalness', 0.42445975262412805), ('acousticness', 0.3668424460842391), ('liveness', 0.2524659628585517), ('danceability', 0.18857244160383946), ('time_signature', 0.06692160626341481), ('key', 0.055350581155820144)]"
3xKsf9qdS1CyvXSMEid6g8,IN,91,Rap,Frank Ocean,Pink + White,0.67,0.544,184516,0.552,4.57e-05,A,0.415,-7.45,Major,0.0991,159.738,3/4,0.554,"[('energy', 0.9635715918367642), ('instrumentalness', 0.9523043467316519), ('time_signature', 0.8380287580731394), ('duration_ms', 0.7230643171132854), ('key', 0.6323591397429499), ('mode', 0.630788798688398), ('tempo', 0.5261397724233607), ('danceability', 0.48518314193519896), ('loudness', 0.4692848951040801), ('valence', 0.36991547725326235), ('acousticness', 0.31232829195976775), ('speechiness', 0.19062914088674354), ('liveness', 0.10444729915709372)]"
1R0a2iXumgCiFb7HEZ7gUE,IL,92,Dance,Taylor Swift,Don’t Blame Me,0.106,0.615,236413,0.534,1.76e-05,A,0.0607,-6.719,Minor,0.0386,135.917,4/4,0.193,"[('acousticness', 0.8982703605217387), ('mode', 0.7990630842858503), ('energy', 0.76881935498704), ('liveness', 0.7181847263138404), ('key', 0.71056192092539), ('tempo', 0.5124441058232195), ('instrumentalness', 0.40367407937221556), ('loudness', 0.39439628939378624), ('duration_ms', 0.36229032738843914), ('speechiness', 0.18958194957465058), ('valence', 0.024579550761615998), ('danceability', 0.01761208992489982), ('time_signature', 0.009689530117086509)]"
086myS9r57YsLbJpU0TgK9,BH,90,Indie,Arctic Monkeys,Why'd You Only Call Me When You're High?,0.0483,0.691,161124,0.631,1.13e-05,D,0.104,-6.478,Major,0.0368,92.004,4/4,0.8,"[('tempo', 0.9971459059390084), ('mode', 0.9288489952464467), ('key', 0.9164382486814369), ('loudness', 0.8557857222830568), ('danceability', 0.8144325470959323), ('speechiness', 0.5809807435022393), ('liveness', 0.565947839397649), ('acousticness', 0.4822208513525874), ('duration_ms', 0.4369812801069366), ('instrumentalness', 0.3924088890700381), ('valence', 0.3741188414797654), ('time_signature', 0.23402004669797405), ('energy', 0.14001495386784923)]"
561jH07mF1jHuk7KlaeF0s,TD,90,Hip-Hop,Eminem,Mockingbird,0.242,0.592,250760,0.678,0.0,E,0.182,-4.411,Minor,0.248,83.976,4/4,0.208,"[('instrumentalness', 0.9382841848451907), ('liveness', 0.8817617668619021), ('valence', 0.8664391881946004), ('acousticness', 0.8264720588697887), ('key', 0.6394467650198503), ('mode', 0.6208163394949456), ('time_signature', 0.6170084030472567), ('loudness', 0.3789568446409963), ('danceability', 0.29978293866763583), ('duration_ms', 0.14093549209849987), ('tempo', 0.061521530470557306), ('speechiness', 0.0530476664338706), ('energy', 0.03154252696931592)]"
